geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,year,standard_population,female,male,male_minus_female,male_female_ratio,source_id,source_version
POL,Poland,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,mortality,2024,World standard population,0.16,0.38,0.22,2.375,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,incidence,2024,World standard population,0.3,2.19,1.89,7.3,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,mortality,2024,World standard population,0.16,1.29,1.1300000000000001,8.0625,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,incidence,2024,World standard population,0.01,0.12,0.11,12.0,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,mortality,2024,World standard population,0.02,0.06,0.039999999999999994,3.0,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,KIDNEY,Kidney,Nerka,incidence,2024,World standard population,5.31,9.85,4.54,1.8549905838041432,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,KIDNEY,Kidney,Nerka,mortality,2024,World standard population,1.8,4.29,2.49,2.3833333333333333,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LARYNX,Larynx,Krtań,incidence,2024,World standard population,0.96,7.1,6.14,7.395833333333333,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LARYNX,Larynx,Krtań,mortality,2024,World standard population,0.48,3.9,3.42,8.125,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LEUKAEMIA,Leukaemia,Białaczka,incidence,2024,World standard population,5.51,9.29,3.7799999999999994,1.6860254083484572,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LEUKAEMIA,Leukaemia,Białaczka,mortality,2024,World standard population,2.56,4.51,1.9499999999999997,1.7617187499999998,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,incidence,2024,World standard population,2.02,6.13,4.109999999999999,3.0346534653465347,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,mortality,2024,World standard population,1.01,3.88,2.87,3.8415841584158414,iarc_globocan_2024,GLOBOCAN 2024
POL,Poland,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,incidence,2024,World standard population,2.12,4.16,2.04,1.9622641509433962,iarc_globocan_2024,GLOBOCAN 2024
